"product_id","product_name","category","discounted_price","actual_price","discount_percentage","rating","rating_count","review_title"
"B09V12K8NT","boAt Wave Lite Smartwatch with 1.69"" HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)","Electronics|WearableTechnology|SmartWatches",1468,6990,0.79,3.9,21796,"Ideal Product,Ok,<U+0909><U+092A><U+092F><U+094B><U+0917><U+0940> <U+090F><U+0935><U+0902> <U+0938><U+0902><U+0924><U+094B><U+0937><U+091C><U+0928><U+0915>,Ok in this price range,Battery,It is a good watch,Nice watch,Average"
"B01DEWVZ2C","JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",599,999,0.4,4.1,192590,"Good maybe okay,Defective Product Delivered,Amazing Sound at Budget,Not for bass lover,Best one,Quality,Durability,Superb voice quality"
"B08D77XZX5","PTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Snug-Fit, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",600,2499,0.76,3.9,58162,"this is good product.,Too much bass for my liking<U+0001F605>,A good deal under Rs.800/-,Worth the price,Itam damage,Le skte hain,Nice product<U+0001F44D><U+0001F44D>,Nice"
"B07WG8PDCW","pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)","Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers",351,1299,0.73,4,14282,"Good,Good product,Charging well but build quality could be better,Quite nice,Good quality product,Ok,Good Purchase,Built quality could have been better"
"B07GPXXNNG","boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",350,999,0.65,4.1,363713,"Best value for money,HEAD PHONE POUCH NOT RECEIVED,Overall good in this pricerange,It's not working in my Phone properly Plz help me in exchange or return, I ll be thankful to you,Worth the money <U+0001F911>,Best,Nice sound,Wonderful product"
"B0BDYVC5TD","SanDisk Ultra® microSDXC™ UHS-I Card, 128GB, 140MB/s R, 10 Y Warranty, for Smartphones","Electronics|Accessories|MemoryCards|MicroSD",954,1800,0.47,4.4,67259,"Fake Product,Costly but excellent quality,Storage good but don't know how to Activate warantee??,Good for use,5 stas nahi diya kyuki capacity 477gb hi rahta hai,Speed not as advertise,Good one,It's ok"
"B08MC57J31","MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)","Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks",1499,2499,0.4,4.3,15970,"Best power bank on the market.,Small & Handy,Good Quality and functional and practical design,5v out put ravatam ledu 2or3v matrame vasthundi..,Good,Nice,Easy to carry,It is really good"
"B08HVL8QN3","Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)","Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks",1143,2199,0.48,4.3,178912,"Ok product to buy,Better than any other power banks,<U+0001F44D>,Nice product,Performance is OK,Very Slim & easy to carry,Decent product,GOAT"
"B0746JGVDS","ELV Car Mount Adjustable Car Phone Holder Universal Long Arm, Windshield for Smartphones - Black","Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles",350,999,0.65,3.9,46399,"Good quality. Does not make sound. A bit less stronger for heavier mobiles.,Good product for those who will not change the mounting position frequently,Good product, value for money.,Useful,Have been using for almost 2 months, not sure ondurability but this looks of good build - going good,Ok,Useful product,Worthy product"
"B08VFF6JQ8","Samsung 25W USB Travel Adapter for Cellular Phones - White","Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers",1223,1699,0.28,4.4,8891,"Fine,Difference between this and a 15W is not that big,Original product,Fast charging<U+0001F44D>,Good for Google Pixel 6a,Best a big charger as big as galaxy z flip 3,Great but little hot the mobile,Need to buy a wire seperately"
"B09NVPSCQT","Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Jet Black)","Electronics|WearableTechnology|SmartWatches",1600,3999,0.6,4,30254,"Ranjitha,Good one,Best One!!!,Good and average usage,IT'S BEEN GOOD,Good,Noise,Overall good product"
"B09YV4RG4D","Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black","Electronics|WearableTechnology|SmartWatches",1520,7999,0.81,4.2,22636,"Premium looking watch,Excellent Product,The Tracking and touch would be better,Bluetooth connectivity,Very good,The watch is good,Felt Good,Not bad"
"B08L5HMJVW","SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R","Electronics|Accessories|MemoryCards|MicroSD",371,700,0.47,4.4,67259,"Fake Product,Costly but excellent quality,Storage good but don't know how to Activate warantee??,Good for use,5 stas nahi diya kyuki capacity 477gb hi rahta hai,Speed not as advertise,Good one,It's ok"
"B07JW9H4J1","Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",396,1099,0.64,4.2,24270,"Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems good"
